# Data from Open Admin Data (https://openadmindata.org/kn/) — CC-BY-4.0. Please cite: https://github.com/open-admin-data/saint-kitts-and-nevis-administrative-divisions
id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.parish,children_count.locality,zip_codes,geo.lat,geo.lon,source_url
KN01,1,Parish,Parish,Christ Church Nichola Town,Christ Church Nichola Town,christ-church-nichola-town-kn01,KN01,,,,,,9,,17.356,-62.761,https://openadmindata.org/kn/parishes/christ-church-nichola-town-kn01/
KN02,1,Parish,Parish,Saint Anne Sandy Point,Saint Anne Sandy Point,saint-anne-sandy-point-kn02,KN02,,,,,,4,,17.358,-62.836,https://openadmindata.org/kn/parishes/saint-anne-sandy-point-kn02/
KN03,1,Parish,Parish,Saint George Basseterre,Saint George Basseterre,saint-george-basseterre-kn03,KN03,,,,,,4,,17.243,-62.648,https://openadmindata.org/kn/parishes/saint-george-basseterre-kn03/
KN04,1,Parish,Parish,Saint George Gingerland,Saint George Gingerland,saint-george-gingerland-kn04,KN04,,,,,,18,,17.128,-62.555,https://openadmindata.org/kn/parishes/saint-george-gingerland-kn04/
KN05,1,Parish,Parish,Saint James Windward,Saint James Windward,saint-james-windward-kn05,KN05,,,,,,17,,17.174,-62.568,https://openadmindata.org/kn/parishes/saint-james-windward-kn05/
KN06,1,Parish,Parish,Saint John Capisterre,Saint John Capisterre,saint-john-capisterre-kn06,KN06,,,,,,8,,17.381,-62.793,https://openadmindata.org/kn/parishes/saint-john-capisterre-kn06/
KN07,1,Parish,Parish,Saint John Figtree,Saint John Figtree,saint-john-figtree-kn07,KN07,,,,,,13,,17.118,-62.592,https://openadmindata.org/kn/parishes/saint-john-figtree-kn07/
KN08,1,Parish,Parish,Saint Mary Cayon,Saint Mary Cayon,saint-mary-cayon-kn08,KN08,,,,,,5,,17.35,-62.73,https://openadmindata.org/kn/parishes/saint-mary-cayon-kn08/
KN09,1,Parish,Parish,Saint Paul Capisterre,Saint Paul Capisterre,saint-paul-capisterre-kn09,KN09,,,,,,7,,17.392,-62.831,https://openadmindata.org/kn/parishes/saint-paul-capisterre-kn09/
KN10,1,Parish,Parish,Saint Paul Charlestown,Saint Paul Charlestown,saint-paul-charlestown-kn10,KN10,,,,,,3,,17.134,-62.609,https://openadmindata.org/kn/parishes/saint-paul-charlestown-kn10/
KN11,1,Parish,Parish,Saint Peter Basseterre,Saint Peter Basseterre,saint-peter-basseterre-kn11,KN11,,,,,,12,,17.325,-62.707,https://openadmindata.org/kn/parishes/saint-peter-basseterre-kn11/
KN12,1,Parish,Parish,Saint Thomas Lowland,Saint Thomas Lowland,saint-thomas-lowland-kn12,KN12,,,,,,6,,17.159,-62.605,https://openadmindata.org/kn/parishes/saint-thomas-lowland-kn12/
KN13,1,Parish,Parish,Saint Thomas Middle Island,Saint Thomas Middle Island,saint-thomas-middle-island-kn13,KN13,,,,,,8,,17.332,-62.798,https://openadmindata.org/kn/parishes/saint-thomas-middle-island-kn13/
KN14,1,Parish,Parish,Trinity Palmetto Point,Trinity Palmetto Point,trinity-palmetto-point-kn14,KN14,,,,,,5,,17.307,-62.747,https://openadmindata.org/kn/parishes/trinity-palmetto-point-kn14/
